CustomerID,CustomerName,ContactNumber,Email,Address
2,"Jane Smith",0987654321,jane.smith@example.com,"456 Elm St, Villagetown"
3,"Alice Brown",1112223333,alice.brown@example.com,"789 Pine St, Capitol City"
4,"Robert White",4445556666,robert.white@example.com,"101 Maple Ave, Townsville"
5,"Michael Green",9876543210,michael.green@example.com,"111 Birch Rd, Suburbia"
6,"Laura Johnson",5556667777,laura.johnson@example.com,"212 Oak Rd, Urbanville"
7,"William Harris",8889990000,william.harris@example.com,"707 Walnut Ln, Lakeside"
8,"Emily Clark",1231231234,emily.clark@example.com,"202 Cedar Dr, Smalltown"
9,"James Miller",2342342345,james.miller@example.com,"909 Palm Ave, Rivertown"
10,"Sophia Wilson",3453453456,sophia.wilson@example.com,"313 Spruce St, Uptown"
11,"Daniel Lewis",4564564567,daniel.lewis@example.com,"404 Poplar Ct, Midtown"
12,"Grace Walker",5675675678,grace.walker@example.com,"515 Hickory Rd, Forestville"
13,"Henry Robinson",6786786789,henry.robinson@example.com,"606 Cherry Ln, Bayview"
14,"Liam Martinez",7897897890,liam.martinez@example.com,"707 Maple St, Downtown"
15,"Olivia Davis",8908908901,olivia.davis@example.com,"808 Ash Blvd, Brookside"
16,"Ethan Hall",9019019012,ethan.hall@example.com,"909 Birch Rd, Mountainview"
17,"Ava Allen",0120120123,ava.allen@example.com,"101 Pine St, Beachville"
18,"Mason Young",3453453456,mason.young@example.com,"111 Oak St, Creekside"
19,"Isabella Scott",2342342345,isabella.scott@example.com,"222 Elm St, Valleytown"
20,"Noah Hernandez",1231231234,noah.hernandez@example.com,"333 Palm Dr, Cliffside"
21,"Charlotte Evans",6543219870,charlotte.evans@example.com,"44 Oakwood Dr, Westview"
22,"Amelia Parker",7654321980,amelia.parker@example.com,"56 Maple Ave, Greenfield"
23,"Lucas Carter",8765432109,lucas.carter@example.com,"78 Birch Rd, Hilltown"
24,"Mia Brooks",9876543210,mia.brooks@example.com,"90 Willow Ln, Riverview"
25,"Harper Gonzalez",9988776655,harper.gonzalez@example.com,"12 Aspen St, Sunnyvale"
26,"Ella Anderson",8877665544,ella.anderson@example.com,"23 Chestnut Ct, Riverdale"
27,"Jack Rivera",7766554433,jack.rivera@example.com,"34 Spruce Dr, Meadowland"
28,"Lily Perez",6655443322,lily.perez@example.com,"45 Pine Blvd, Woodside"
29,"Benjamin Sanders",5544332211,benjamin.sanders@example.com,"56 Hickory Rd, Cliffton"
30,"Zoe Adams",4433221100,zoe.adams@example.com,"67 Elm St, Maplewood"
31,"Sebastian Cooper",3322110099,sebastian.cooper@example.com,"78 Cedar Ln, Lakeside"
32,"Hannah Ramirez",2211009988,hannah.ramirez@example.com,"89 Walnut St, Uptown"
33,"Oliver Clark",1100998877,oliver.clark@example.com,"91 Aspen Ave, Mountainview"
34,"Avery Phillips",0099887766,avery.phillips@example.com,"101 Oak Ct, Valleyview"
35,"Evelyn Turner",1987654321,evelyn.turner@example.com,"202 Birch Dr, Brookhaven"
36,"Jacob Morris",2987654321,jacob.morris@example.com,"303 Willow Blvd, Southside"
37,"Sofia Martinez",3987654321,sofia.martinez@example.com,"404 Maple Ln, Forest Hill"
38,"Mason Hughes",4987654321,mason.hughes@example.com,"505 Poplar Rd, Northview"
39,"Layla Bennett",5987654321,layla.bennett@example.com,"606 Cherry Ave, Suburbia"
40,"William Reed",6987654321,william.reed@example.com,"707 Spruce St, Urbanville"
